"Level 1","Level 2","Level 3","Level 4","2024"
"Forest","","","",144652.2938509897
"Forest","Forest Formation","","",129179.00626466544
"Forest","Wooded Sandbank Vegetation","","",0
"Forest","Floodable Forest","","",15470.66029609599
"Forest","Mangrove","","",0
"Forest","Savanna Formation","","",2.6272902282714847
"Herbaceous and Shrubby Vegetation","","","",1337.5747090122563
"Herbaceous and Shrubby Vegetation","Grassland Formation","","",31.078576234178716
"Herbaceous and Shrubby Vegetation","Herbaceous Sandbank Vegetation","","",0
"Herbaceous and Shrubby Vegetation","Wetland","","",1306.4961327780777
"Herbaceous and Shrubby Vegetation","Rocky Outcrop","","",0
"Herbaceous and Shrubby Vegetation","Hypersaline Tidal Flat","","",0
"Farming","","","",229136.5609786395
"Farming","Agriculture","","",198594.1165798547
"Farming","Agriculture","Perennial Crop","",0
"Farming","Agriculture","Perennial Crop","Other Perennial Crops",0
"Farming","Agriculture","Perennial Crop","Coffee",0
"Farming","Agriculture","Perennial Crop","Citrus",0
"Farming","Agriculture","Perennial Crop","Palm Oil",0
"Farming","Agriculture","Temporary Crop","",198594.1165798547
"Farming","Agriculture","Temporary Crop","Rice",0
"Farming","Agriculture","Temporary Crop","Soybean",169851.82514068307
"Farming","Agriculture","Temporary Crop","Sugar cane",0
"Farming","Agriculture","Temporary Crop","Cotton",122.92761276245128
"Farming","Agriculture","Temporary Crop","Other Temporary Crops",28619.363826409153
"Farming","Forest Plantation","","",410.336544505903
"Farming","Mosaic of Uses","","",0
"Farming","Pasture","","",30132.107854278893
"Non vegetated area","","","",10573.397549469526
"Non vegetated area","Photovoltaic Power Plant","","",0
"Non vegetated area","Other non Vegetated Areas","","",1635.1570940800664
"Non vegetated area","Mining","","",0
"Non vegetated area","Beach, Dune and Sand Spot","","",0
"Non vegetated area","Urban Area","","",8938.24045538946
"Water and Marine Environment","","","",13386.025185670784
"Water and Marine Environment","River, Lake and Ocean","","",13386.025185670784
"Water and Marine Environment","Aquaculture","","",0
"Not Observed","","","",0
